# Student number: r0776947
# Iteration, Elapsed time, Mean value, Best value, Cycle
0,      0.42, 116118.26, 101723.03,0,20,47,4,62,28,71,5,50,23,65,74,84,3,68,89,1,56,35,57,86,42,49,60,6,52,53,31,13,67,39,32,72,8,43,99,7,95,21,46,98,66,54,11,33,48,93,79,64,24,87,69,78,94,58,44,61,37,51,55,59,97,29,12,18,63,70,45,2,36,73,85,76,82,19,22,34,10,92,27,30,91,75,40,80,26,83,77,41,25,17,96,16,14,38,15,90,9,88,81,
1,      0.56, 116733.87, 101723.03,0,20,47,4,62,28,71,5,50,23,65,74,84,3,68,89,1,56,35,57,86,42,49,60,6,52,53,31,13,67,39,32,72,8,43,99,7,95,21,46,98,66,54,11,33,48,93,79,64,24,87,69,78,94,58,44,61,37,51,55,59,97,29,12,18,63,70,45,2,36,73,85,76,82,19,22,34,10,92,27,30,91,75,40,80,26,83,77,41,25,17,96,16,14,38,15,90,9,88,81,
2,      0.70, 116314.57, 101723.03,0,20,47,4,62,28,71,5,50,23,65,74,84,3,68,89,1,56,35,57,86,42,49,60,6,52,53,31,13,67,39,32,72,8,43,99,7,95,21,46,98,66,54,11,33,48,93,79,64,24,87,69,78,94,58,44,61,37,51,55,59,97,29,12,18,63,70,45,2,36,73,85,76,82,19,22,34,10,92,27,30,91,75,40,80,26,83,77,41,25,17,96,16,14,38,15,90,9,88,81,
3,      0.83, 115864.43, 101723.03,0,20,47,4,62,28,71,5,50,23,65,74,84,3,68,89,1,56,35,57,86,42,49,60,6,52,53,31,13,67,39,32,72,8,43,99,7,95,21,46,98,66,54,11,33,48,93,79,64,24,87,69,78,94,58,44,61,37,51,55,59,97,29,12,18,63,70,45,2,36,73,85,76,82,19,22,34,10,92,27,30,91,75,40,80,26,83,77,41,25,17,96,16,14,38,15,90,9,88,81,
4,      0.97, 114931.99, 101723.03,0,20,47,4,62,28,71,5,50,23,65,74,84,3,68,89,1,56,35,57,86,42,49,60,6,52,53,31,13,67,39,32,72,8,43,99,7,95,21,46,98,66,54,11,33,48,93,79,64,24,87,69,78,94,58,44,61,37,51,55,59,97,29,12,18,63,70,45,2,36,73,85,76,82,19,22,34,10,92,27,30,91,75,40,80,26,83,77,41,25,17,96,16,14,38,15,90,9,88,81,
5,      2.14, 115822.81, 101723.03,0,20,47,4,62,28,71,5,50,23,65,74,84,3,68,89,1,56,35,57,86,42,49,60,6,52,53,31,13,67,39,32,72,8,43,99,7,95,21,46,98,66,54,11,33,48,93,79,64,24,87,69,78,94,58,44,61,37,51,55,59,97,29,12,18,63,70,45,2,36,73,85,76,82,19,22,34,10,92,27,30,91,75,40,80,26,83,77,41,25,17,96,16,14,38,15,90,9,88,81,
6,      2.22, 118844.79, 101822.90,72,8,43,99,7,95,39,67,13,32,52,53,31,35,56,86,57,1,89,60,49,6,42,84,74,65,23,3,68,50,5,71,28,62,20,9,0,4,47,11,54,46,66,98,33,48,93,87,24,64,79,78,69,94,58,44,61,37,51,55,59,14,29,97,12,63,70,82,76,85,36,2,73,45,19,22,34,10,92,27,30,83,77,75,40,17,41,25,26,80,91,96,16,18,38,90,15,21,88,81,
7,      2.29, 122094.73, 101822.90,72,8,43,99,7,95,39,67,13,32,52,53,31,35,56,86,57,1,89,60,49,6,42,84,74,65,23,3,68,50,5,71,28,62,20,9,0,4,47,11,54,46,66,98,33,48,93,87,24,64,79,78,69,94,58,44,61,37,51,55,59,14,29,97,12,63,70,82,76,85,36,2,73,45,19,22,34,10,92,27,30,83,77,75,40,17,41,25,26,80,91,96,16,18,38,90,15,21,88,81,
8,      2.37, 121557.18, 101136.73,72,8,43,99,7,95,39,67,13,32,52,53,31,35,56,86,57,1,89,60,49,6,42,84,74,65,23,3,68,50,5,71,28,62,20,9,0,4,47,11,54,46,66,98,33,48,93,87,24,64,79,78,69,94,58,44,61,37,51,55,59,14,29,97,12,63,70,82,76,85,36,2,73,45,19,22,34,10,92,27,30,83,77,75,40,17,41,25,26,80,91,96,16,18,38,15,90,21,88,81,
9,      2.45, 120957.61, 101136.73,72,8,43,99,7,95,39,67,13,32,52,53,31,35,56,86,57,1,89,60,49,6,42,84,74,65,23,3,68,50,5,71,28,62,20,9,0,4,47,11,54,46,66,98,33,48,93,87,24,64,79,78,69,94,58,44,61,37,51,55,59,14,29,97,12,63,70,82,76,85,36,2,73,45,19,22,34,10,92,27,30,83,77,75,40,17,41,25,26,80,91,96,16,18,38,15,90,21,88,81,
10,      2.52, 122018.00, 101136.73,72,8,43,99,7,95,39,67,13,32,52,53,31,35,56,86,57,1,89,60,49,6,42,84,74,65,23,3,68,50,5,71,28,62,20,9,0,4,47,11,54,46,66,98,33,48,93,87,24,64,79,78,69,94,58,44,61,37,51,55,59,14,29,97,12,63,70,82,76,85,36,2,73,45,19,22,34,10,92,27,30,83,77,75,40,17,41,25,26,80,91,96,16,18,38,15,90,21,88,81,
11,      2.60, 121335.67, 101136.73,72,8,43,99,7,95,39,67,13,32,52,53,31,35,56,86,57,1,89,60,49,6,42,84,74,65,23,3,68,50,5,71,28,62,20,9,0,4,47,11,54,46,66,98,33,48,93,87,24,64,79,78,69,94,58,44,61,37,51,55,59,14,29,97,12,63,70,82,76,85,36,2,73,45,19,22,34,10,92,27,30,83,77,75,40,17,41,25,26,80,91,96,16,18,38,15,90,21,88,81,
